time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
3852, 1533, 9.157822, -1.252167, 1.915361, 0.038904, -0.091663, 0.162009, 23.432941
3862, 1382, 9.270349, -1.350330, 1.788469, -0.002132, -0.081005, 0.155081, 23.450588
3872, 1723, 9.378088, -1.419762, 1.757344, -0.015188, -0.090864, 0.147887, 23.444706
3882, 2352, 9.466674, -1.434127, 1.680730, -0.024781, -0.112714, 0.138827, 23.435883
3892, 2756, 9.540894, -1.393425, 1.611298, -0.047164, -0.117776, 0.128168, 23.424118
3902, 2256, 9.619903, -1.316811, 1.558625, -0.078873, -0.090064, 0.119109, 23.421177
3912, 1769, 9.794679, -1.237802, 1.520318, -0.115112, -0.041568, 0.106851, 23.430000
3922, 1535, 10.014946, -1.254562, 1.498770, -0.147087, 0.010658, 0.079672, 23.441765
3932, 1474, 10.211270, -1.247379, 1.611298, -0.177997, 0.037838, 0.049029, 23.427059
3942, 1444, 10.371682, -1.230620, 1.781286, -0.200113, 0.015988, 0.019185, 23.430000
3952, 1422, 10.369287, -1.235408, 1.862689, -0.207841, -0.038904, -0.006662, 23.432941
3962, 1442, 10.225636, -1.182736, 1.821988, -0.221430, -0.096992, -0.023449, 23.432941
3972, 1433, 10.036493, -1.101333, 1.666364, -0.238750, -0.113779, -0.037571, 23.424118
3982, 1518, 9.904813, -0.960075, 1.503559, -0.248077, -0.076741, -0.053825, 23.441765
3992, 1498, 9.921572, -0.826000, 1.482011, -0.218766, -0.005063, -0.073544, 23.453529
4002, 1479, 10.029311, -0.687136, 1.589750, -0.166806, 0.049828, -0.083136, 23.441765
4012, 1499, 10.093954, -0.596156, 1.678335, -0.118576, 0.053825, -0.081804, 23.435883
4022, 1535, 10.117896, -0.533907, 1.604115, -0.081804, 0.014389, -0.070879, 23.444706
4032, 1522, 10.053253, -0.526724, 1.438915, -0.050361, -0.021850, -0.056224, 23.450588
4042, 1532, 9.988609, -0.560243, 1.302446, -0.027712, -0.026113, -0.042368, 23.435883
4052, 1616, 9.911995, -0.624887, 1.271321, -0.017853, -0.006395, -0.027712, 23.430000
4062, 1535, 9.837775, -0.682347, 1.364695, -0.017320, 0.025047, -0.014123, 23.424118
4072, 1519, 9.789890, -0.749385, 1.470040, -0.030110, 0.055691, -0.002665, 23.447647
4082, 1610, 9.768343, -0.816423, 1.575385, -0.050894, 0.080738, 0.001865, 23.438824
4092, 1635, 9.799467, -0.842759, 1.776498, -0.064217, 0.086600, -0.001599, 23.438824
4102, 1566, 9.823410, -0.885855, 1.845930, -0.058089, 0.075942, -0.011191, 23.438824
4112, 1639, 9.832987, -0.938527, 1.881842, -0.051427, 0.062619, -0.023449, 23.441765
4122, 1753, 9.801862, -0.995988, 1.869871, -0.061020, 0.053292, -0.035972, 23.432941
4132, 1711, 9.765948, -0.991199, 1.855506, -0.076475, 0.050095, -0.045832, 23.430000
4142, 2306, 9.737218, -0.924162, 1.812411, -0.087933, 0.053559, -0.052493, 23.438824
4152, 2299, 9.739613, -0.897826, 1.812411, -0.097792, 0.054891, -0.054358, 23.438824
4162, 2227, 9.751583, -0.852336, 1.843535, -0.108450, 0.043433, -0.049828, 23.438824
4172, 1858, 9.744401, -0.799663, 1.977611, -0.116977, 0.012790, -0.039703, 23.444706
4182, 1719, 9.713276, -0.778116, 2.044648, -0.127103, -0.030377, -0.026113, 23.435883
4192, 1744, 9.605537, -0.785298, 1.891419, -0.129234, -0.051694, -0.019452, 23.441765
4202, 1791, 9.538500, -0.806846, 1.711854, -0.123639, -0.020518, -0.022649, 23.450588
4212, 1622, 9.579201, -0.823605, 1.599327, -0.115645, 0.045565, -0.029577, 23.435883
4222, 1601, 9.773131, -0.785298, 1.747767, -0.115378, 0.085534, -0.031176, 23.438824
4232, 1600, 9.979033, -0.744597, 1.977611, -0.113779, 0.064484, -0.026113, 23.447647
4242, 1578, 10.077195, -0.749385, 2.104503, -0.100190, -0.006129, -0.023182, 23.447647
4252, 1674, 10.026917, -0.696713, 2.037466, -0.076741, -0.083669, -0.025314, 23.447647
4262, 1645, 9.876082, -0.663194, 1.857901, -0.044499, -0.124971, -0.027446, 23.450588
4272, 1685, 9.737218, -0.610521, 1.659182, -0.009859, -0.107384, -0.026380, 23.441765
4282, 1661, 9.732430, -0.593762, 1.546654, 0.011991, -0.053026, -0.021583, 23.456470
4292, 1634, 9.868899, -0.610521, 1.551443, 0.018386, -0.007727, -0.011191, 23.462353
4302, 1661, 10.041282, -0.624887, 1.596933, 0.019985, 0.000799, -0.001865, 23.432941
4312, 1776, 10.149021, -0.653617, 1.699883, 0.030110, -0.031176, 0.008527, 23.435883
4322, 1811, 10.156203, -0.656011, 1.798046, 0.053825, -0.080205, 0.016521, 23.441765
4332, 1744, 10.086772, -0.670376, 1.714248, 0.086334, -0.117243, 0.023182, 23.444706
4342, 1575, 10.002975, -0.658405, 1.532289, 0.117510, -0.120441, 0.026380, 23.430000
4352, 1499, 9.943120, -0.684742, 1.386243, 0.138560, -0.094861, 0.026113, 23.450588
4362, 1517, 9.907207, -0.691924, 1.328782, 0.151084, -0.062086, 0.024781, 23.432941
4372, 1531, 9.926360, -0.711078, 1.383849, 0.162276, -0.036239, 0.022383, 23.432941
4382, 1493, 9.940725, -0.756568, 1.493982, 0.172934, -0.028245, 0.018386, 23.432941
4392, 1520, 9.928755, -0.802058, 1.584962, 0.179063, -0.043433, 0.015721, 23.444706
4402, 1413, 9.864111, -0.837971, 1.601721, 0.184925, -0.063418, 0.016521, 23.435883
4412, 1357, 9.732430, -0.826000, 1.520318, 0.195317, -0.060487, 0.019985, 23.438824
4422, 1646, 9.636662, -0.821211, 1.345541, 0.202245, -0.025847, 0.021850, 23.462353
4432, 2342, 9.622296, -0.830788, 1.288081, 0.199580, 0.019985, 0.023449, 23.444706
4442, 2907, 9.665392, -0.826000, 1.319205, 0.188922, 0.062885, 0.022649, 23.441765
4452, 2331, 9.686940, -0.763750, 1.436521, 0.176132, 0.078606, 0.026380, 23.456470
4462, 1680, 9.689334, -0.703895, 1.510741, 0.158012, 0.069547, 0.030910, 23.444706
4472, 1535, 9.725247, -0.744597, 1.467646, 0.146021, 0.065816, 0.020518, 23.447647
4482, 1479, 9.703699, -0.751779, 1.527501, 0.143623, 0.068214, 0.006129, 23.462353
4492, 1327, 9.746795, -0.775721, 1.606509, 0.138560, 0.050628, 0.002132, 23.453529
4502, 1401, 9.670180, -0.833182, 1.637634, 0.133764, 0.018386, 0.003997, 23.438824
4512, 1431, 9.610326, -0.830788, 1.673547, 0.104187, -0.019185, 0.020518, 23.444706
4522, 1483, 9.552865, -0.854730, 1.565808, 0.069014, -0.026113, 0.031176, 23.444706
4532, 1439, 9.540894, -0.888249, 1.489193, 0.041835, 0.009859, 0.028245, 23.456470
